,NCBI_IDs,NCBI_taxa,,,Symbol,Size,Color,Fill,Position,Label
75,1847,Pseudonocardia,Pseudonocardia|1847,Pseudonocardia|1847,NA,NA,NA,NA,NA,NA
76,1877,Micromonospora_echinospora,Micromonospora_echinospora|1877,Micromonospora_echinospora|1877,NA,NA,NA,NA,NA,NA
77,1887,Streptomyces_albogriseolus,Streptomyces_albogriseolus|1887,Streptomyces_albogriseolus|1887,Circle,10,#FF000,NA,1,NA
78,1889,Streptomyces_ambofaciens,Streptomyces_ambofaciens|1889,Streptomyces_ambofaciens|1889,NA,NA,NA,NA,NA,NA
79,1893,Streptomyces_atratus,Streptomyces_atratus|1893,Streptomyces_atratus|1893,NA,NA,NA,NA,NA,NA
80,1901,Streptomyces_clavuligerus,Streptomyces_clavuligerus|1901,Streptomyces_clavuligerus|1901,Circle,10,#FF000,NA,1,NA
81,1902,Streptomyces_coelicolor,Streptomyces_coelicolor|1902,Streptomyces_coelicolor|1902,Circle,10,#FF000,NA,1,NA
82,1906,Streptomyces_fradiae,Streptomyces_fradiae|1906,Streptomyces_fradiae|1906,NA,NA,NA,NA,NA,NA
83,1911,Streptomyces_griseus,Streptomyces_griseus|1911,Streptomyces_griseus|1911,NA,NA,NA,NA,NA,NA
84,1912,Streptomyces_hygroscopicus,Streptomyces_hygroscopicus|1912,Streptomyces_hygroscopicus|1912,NA,NA,NA,NA,NA,NA
85,1916,Streptomyces_lividans,Streptomyces_lividans|1916,Streptomyces_lividans|1916,NA,NA,NA,NA,NA,NA
86,1928,Streptomyces_rochei,Streptomyces_rochei|1928,Streptomyces_rochei|1928,NA,NA,NA,NA,NA,NA
87,1931,Streptomyces_sp.,Streptomyces_sp.|1931,Streptomyces_sp.|1931,Circle,10,#FF000,NA,1,NA
88,1932,Streptomyces_tendae,Streptomyces_tendae|1932,Streptomyces_tendae|1932,NA,NA,NA,NA,NA,NA
89,1938,Streptomyces_viridochromogenes,Streptomyces_viridochromogenes|1938,Streptomyces_viridochromogenes|1938,Circle,10,#FF000,NA,1,NA
90,1945,Streptomyces_jumonjinensis,Streptomyces_jumonjinensis|1945,Streptomyces_jumonjinensis|1945,Circle,10,#FF000,NA,1,NA
91,1956,Streptomyces_diastaticus,Streptomyces_diastaticus|1956,Streptomyces_diastaticus|1956,NA,NA,NA,NA,NA,NA
92,1961,Streptomyces_virginiae,Streptomyces_virginiae|1961,Streptomyces_virginiae|1961,NA,NA,NA,NA,NA,NA
93,1971,Streptomyces_noursei,Streptomyces_noursei|1971,Streptomyces_noursei|1971,NA,NA,NA,NA,NA,NA
